date,scenario_id,likelihood,impact,preparedness,likelihood_rationale,impact_rationale,preparedness_rationale
2026-02-15,sit-awareness,2,1,1,"Superintelligence by 2028 is possible but relies on aggressive assumptions about scaling and recursive improvement. Most experts place this as a tail risk rather than base case.","If realized, impact would be among the most extreme scenarios — near-total economic and social restructuring with minimal time for adaptation.","Essentially no policy infrastructure exists for managing an intelligence explosion. Government awareness is growing but concrete preparations are near zero."
2026-02-15,tbi-whirlwind,4,2,2,"Rapid AI-driven government and service transformation is already underway in several countries. The 5-year timeline is plausible given current adoption rates.","Impact is significant but not catastrophic if managed proactively; main risk is uneven adaptation leaving vulnerable populations behind.","UK and some EU governments have begun adaptation planning, but most lack concrete implementation roadmaps. Digital transformation units exist but aren't AI-focused."
2026-02-15,amodei-machines,2,5,2,"Optimistic scenario requires solving alignment, achieving broad capability, AND ensuring equitable deployment — each is uncertain, together they're unlikely in the near term.","If realized, this would be enormously positive — breakthroughs in health, poverty, and science. Positive impact score reflects the upside.","Some investment in AI safety research and beneficial AI programs, but nowhere near the scale needed to ensure this positive scenario materializes."
2026-02-15,epoch-compendium,3,2,1,"Epoch's economic modeling is rigorous and their automation timelines track with current capability trends. The distributional crisis is the most likely near-term risk.","Severe distributional impacts even with GDP growth; the Engels Pause dynamic could destabilize social contracts across advanced economies.","Tax policy, labor market institutions, and social safety nets are designed for a pre-AI economy. Reform discussions are early-stage at best."
2026-02-15,ai2027,2,1,1,"Aggressive timeline but from well-informed forecasters. The specific capability milestones are the key uncertainty — if scaling continues, 2027 is not impossible.","Near-term transformative AI would catch institutions and individuals deeply unprepared, leading to chaotic adjustment period.","Government response timelines of 12-18 months lag mean policies enacted today won't be effective until the transformation is already underway."
2026-02-15,wc-wipeout,4,2,1,"Professional job displacement is already visible in coding, legal research, financial analysis. The question is speed and breadth, not whether it happens.","Middle class destabilization has profound second-order effects: consumption crisis, fiscal crisis, political polarization, mental health epidemic.","Almost no countries have policies specifically designed for rapid white-collar displacement. Retraining programs are scaled for manufacturing job losses, not professional services."
2026-02-15,ord-precipice,1,1,1,"10% existential risk this century from AI is Ord's estimate. While this is a low probability, the severity demands attention. Exact probability is deeply uncertain.","By definition, existential risk represents the maximum possible negative impact — loss of all future human potential.","International AI governance is in its infancy. No equivalent of nuclear non-proliferation frameworks exists for AI. Alignment research is underfunded relative to capability research."
2026-02-15,suleyman-coming,3,3,2,"The 'coming wave' framing is compelling — technology diffusion is historically unstoppable. The containment challenge is real and growing.","Moderate negative impact reflecting the dual-use nature: significant risks but also genuine potential for benefits if governance catches up.","Some containment thinking is entering policy discourse, but institutional forms for governing dual-use AI remain largely theoretical."
2026-02-15,imf-ai-econ,4,3,2,"The IMF's conservative estimate of 40% job exposure is well-supported by multiple analyses. This is arguably the most likely near-term disruption scenario.","Impact is significant but the IMF framing focuses on manageable transitions — the question is whether policy responds fast enough.","IMF and G20 have begun policy dialogue; some countries are updating labor market and tax frameworks. Most prepared of any scenario, but still inadequate."
2026-02-15,rand-ai-security,3,2,2,"Military AI transformation is accelerating across major powers. Strategic stability risks are real but timeline is uncertain.","National security disruption could cascade into broader instability; autonomous weapons and AI-enabled cyber attacks pose novel threats.","Military AI governance is ahead of economic AI governance in some respects (existing arms control frameworks) but behind in others (no AI-specific treaties)."
