id,name,challenge_tag,description,citation_1_text,citation_1_url,citation_2_text,citation_2_url,citation_3_text,citation_3_url
token-tax,"Variable-Rate Token Tax",tag_fiscal_crisis,"A tax on AI inference compute (tokens) that scales with capability level, creating a new revenue base as traditional income tax erodes. Revenue funds transition programs and public AI infrastructure.","Windfall Trust policy brief on token taxation","https://windfalltrust.com/","IMF working paper on digital taxation","https://www.imf.org/en/Publications/WP","OECD digital economy taxation framework","https://www.oecd.org/tax/beps/"
wealth-tax,"AI Wealth Tax",tag_inequality,"Progressive tax on AI-derived capital gains and wealth concentration, targeting the extreme value capture by AI company shareholders and compute owners.","Piketty on capital taxation in the 21st century","https://wid.world/","Saez and Zucman on progressive wealth taxation","https://eml.berkeley.edu/~saez/","UK Wealth Tax Commission report","https://www.ukwealth.tax/"
skills-fund,"National Skills Transition Fund",tag_skills_obsolescence,"Government-backed fund providing income support and retraining for workers displaced by AI, with a focus on professional and knowledge workers rather than just manufacturing.","Singapore SkillsFuture program evaluation","https://www.skillsfuture.gov.sg/","OECD skills outlook AI and automation","https://www.oecd.org/employment/skills-and-work/","UK Lifetime Skills Guarantee analysis","https://www.gov.uk/government/publications"
dpu-framework,"Digital Public Utility Framework",tag_ai_concentration,"Designates critical AI infrastructure as regulated utilities, requiring providers to offer access, maintain standards, and accept oversight in exchange for operating privileges.","Windfall Trust Digital Public Utilities paper","https://windfalltrust.com/","Aspen Digital public utility governance models","https://www.aspendigital.org/","EU Digital Markets Act as precedent","https://digital-markets-act.ec.europa.eu/"
ubi-pilot,"Universal Basic Income Pilots",tag_mass_unemployment,"Scaled UBI programs providing unconditional income floors, designed to maintain consumption and social stability during periods of rapid labor market disruption.","Stanford Basic Income Lab research","https://basicincome.stanford.edu/","Finland UBI experiment results","https://julkaisut.valtioneuvosto.fi/","GiveDirectly UBI evidence review","https://www.givedirectly.org/research-on-cash-transfers/"
public-ai,"Public AI Service Corporation",tag_public_service_disruption,"A government-backed entity providing AI services for public sector needs — health, education, benefits administration — ensuring critical services aren't dependent on private AI providers.","British AI Corporation proposal (Chatham House)","https://www.chathamhouse.org/","BBC model for public digital infrastructure","https://www.bbc.co.uk/aboutthebbc","Estonia e-governance AI integration","https://e-estonia.com/"
alignment-fund,"International AI Safety Research Fund",tag_existential_risk,"Multilateral fund for AI alignment and safety research, modeled on CERN, ensuring safety research keeps pace with capability development.","METR autonomous capability evaluations","https://metr.org/","CERN governance model analysis","https://home.cern/about","Anthropic responsible scaling policy","https://www.anthropic.com/research"
dem-oversight,"Democratic AI Oversight Board",tag_democratic_erosion,"Independent regulatory body with democratic accountability, technical expertise, and enforcement power to oversee AI deployment in sensitive domains.","EU AI Act implementation framework","https://artificialintelligenceact.eu/","UK AI Safety Institute mandate","https://www.gov.uk/government/organisations/ai-safety-institute","Ada Lovelace Institute regulatory proposals","https://www.adalovelaceinstitute.org/"
fiscal-buffer,"AI Transition Fiscal Buffer",tag_fiscal_crisis,"Sovereign wealth fund mechanism that captures AI productivity gains through equity stakes and compute levies, building fiscal resilience before tax base erosion accelerates.","Norway sovereign wealth fund model","https://www.nbim.no/","Singapore GIC sovereign wealth approach","https://www.gic.com.sg/","IMF fiscal policy in the age of AI","https://www.imf.org/"
job-guarantee,"AI-Era Job Guarantee",tag_mass_unemployment,"Government employer-of-last-resort program focusing on care work, community development, and environmental restoration — sectors where human presence has intrinsic value.","Pavlina Tcherneva job guarantee proposal","https://www.levyinstitute.org/","India MGNREGA program evaluation","https://nrega.nic.in/","Center on Budget and Policy Priorities analysis","https://www.cbpp.org/"
compute-commons,"Compute Commons Initiative",tag_ai_concentration,"Public compute infrastructure ensuring researchers and small organizations can access AI training and inference without dependence on hyperscaler monopolies.","National AI Research Resource proposal","https://www.ai.gov/nairr/","UK compute review recommendations","https://www.gov.uk/government/publications","EU EuroHPC joint undertaking","https://eurohpc-ju.europa.eu/"
adaptive-ed,"Adaptive Education System",tag_skills_obsolescence,"Reform of education systems to emphasize adaptability and continuous learning rather than fixed credentials, with AI-powered personalized learning pathways.","OECD Future of Education and Skills 2030","https://www.oecd.org/education/2030-project/","MIT Work of the Future report","https://workofthefuture.mit.edu/","UNESCO AI in education framework","https://www.unesco.org/en/digital-education/artificial-intelligence"
arms-control,"AI Arms Control Framework",tag_democratic_erosion,"International treaty framework for military AI, establishing verification mechanisms, prohibited applications, and confidence-building measures between major powers.","RAND AI arms control analysis","https://www.rand.org/","UN Convention on Certain Conventional Weapons AI discussions","https://www.un.org/disarmament/","Campaign to Stop Killer Robots","https://www.stopkillerrobots.org/"
data-dividend,"Citizens Data Dividend",tag_inequality,"Mechanism for citizens to receive payments from AI companies that use public data and publicly-funded research, recognizing collective contribution to AI development.","Jaron Lanier data dignity proposal","https://www.radicalmarkets.com/","California data dividend proposal","https://leginfo.legislature.ca.gov/","World Economic Forum data governance framework","https://www.weforum.org/"
safety-net-reform,"Social Safety Net Modernization",tag_public_service_disruption,"Comprehensive reform of benefits systems to handle rapid employment transitions, including portable benefits, income smoothing, and AI-assisted case management.","Brookings Institution future of work report","https://www.brookings.edu/","UK Universal Credit modernization analysis","https://www.gov.uk/universal-credit","Aspen Institute Future of Work Initiative","https://www.aspeninstitute.org/"
