id,title,authors,institution,url,year,summary,social,technological,economic,environmental,political,tag_mass_unemployment,tag_fiscal_crisis,tag_inequality,tag_ai_concentration,tag_skills_obsolescence,tag_public_service_disruption,tag_democratic_erosion,tag_existential_risk
sit-awareness,"Situational Awareness","Leopold Aschenbrenner","Independent (former OpenAI)",https://situational-awareness.ai/,2024,"Projects that superintelligence is achievable by 2027-2028 through scaling current approaches, triggering an intelligence explosion and intense geopolitical competition.","Mass societal disruption as AI surpasses human cognition across all domains; potential for extreme social stratification between those who control AI and those who don't.","Assumes continued exponential scaling of compute and algorithmic efficiency; predicts AGI-level systems within 2-3 years followed by rapid recursive self-improvement.","Economic concentration in whoever achieves superintelligence first; massive value capture by a tiny number of firms; potential for post-scarcity or total economic disruption.","Massive energy demands for superintelligent systems; environmental impact depends entirely on whether AI is directed toward sustainability or unconstrained growth.","Frames as a geopolitical race primarily between US and China; argues for government-lab partnerships and potential nationalization of AI development.","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
tbi-whirlwind,"The Whirlwind: AI's Rapid Transformation","Tony Blair Institute","Tony Blair Institute for Global Change",https://www.institute.global/insights/politics-and-governance/the-whirlwind,2024,"Argues AI will transform governance, public services and the economy within 5 years, requiring immediate institutional adaptation rather than wait-and-see approaches.","Public service transformation creates winners and losers; digital divide deepens unless proactively managed; healthcare and education radically reshaped.","Assumes rapid capability gains in language models enabling automation of most knowledge work; multimodal AI reshaping service delivery.","GDP growth accelerates but labor share of income falls; massive retraining needs; potential fiscal windfall from productivity gains if managed well.","Relatively optimistic on environmental impact through AI-optimized systems, but acknowledges energy costs of AI infrastructure.","Calls for proactive government transformation; new institutions needed; risk of democratic erosion if governments can't keep pace with corporate AI deployment.","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE"
amodei-machines,"Machines of Loving Grace","Dario Amodei","Anthropic",https://darioamodei.com/machines-of-loving-grace,2024,"Optimistic scenario for powerful AI: if safety challenges are solved, AI could dramatically accelerate progress in health, poverty reduction, governance, and science within 5-10 years.","Dramatic improvements in global health and poverty; but benefits depend heavily on equitable access and governance structures.","Assumes powerful AI that is reliably aligned and controllable; human-AI collaboration as primary mode rather than full automation.","Broadly positive economic transformation with AI as amplifier of human capability; acknowledges need for redistribution mechanisms.","Significant environmental benefits through AI-accelerated clean energy, materials science, and climate modeling.","Optimistic about AI supporting better governance, but contingent on solving alignment and maintaining democratic oversight.","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
epoch-compendium,"The Compendium: AI & Economic Transformation","Epoch AI Research Team","Epoch AI",https://epoch.ai/blog/the-compendium,2025,"Comprehensive economic analysis of transformative AI: models GDP growth trajectories, labor displacement timelines, and capital concentration under various automation scenarios.","Social disruption concentrated in knowledge-work sectors first; potential for mass purposelessness even with economic safety nets.","Detailed modeling of AI capability trajectories across task types; estimates timeline to full automation of various job categories.","Projects potential 10-30% GDP growth but with severe distributional problems; models show capital owners capturing majority of gains without intervention.","Notes massive compute energy requirements; models environmental impact of AI infrastructure buildout.","Emphasizes need for novel economic policy; existing institutions ill-equipped for speed of transformation.","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
ai2027,"AI 2027: Near-Term Trajectories","Daniel Kokotajlo et al.","AI Futures Project",https://ai-2027.com/,2025,"Detailed scenario modeling the path from current AI to transformative systems by 2027, including lab dynamics, capability jumps, and societal response timelines.","Rapid capability gains outpace societal adaptation; potential for crisis moments when AI capabilities visibly surpass human performance on economically important tasks.","Models specific capability milestones: autonomous research by 2026, broadly superhuman reasoning by 2027; assumes continued scaling plus algorithmic breakthroughs.","Economic transformation begins in earnest by 2026 with autonomous AI agents performing professional services; labor market disruption accelerates rapidly.","Energy infrastructure becomes critical bottleneck; AI companies become largest energy consumers.","Government response lags private sector by 12-18 months; regulatory frameworks designed for current AI become obsolete.","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
wc-wipeout,"White Collar Wipeout","Various (scenario synthesis)","Windfall Trust / Multiple",https://windfalltrust.com/,2025,"Scenario in which AI rapidly automates professional and knowledge work, creating mass unemployment among previously secure middle-class workers while GDP continues to grow.","Middle class social contract breaks down; professional identity crisis; mental health epidemic among displaced knowledge workers.","Assumes AI reaches and exceeds professional-grade performance in law, finance, consulting, medicine, software development within 3-5 years.","GDP grows 5-15% annually but labor share of income collapses; Engels Pause 2.0 where workers become poorer even as economy grows; consumption crisis follows.","Modest direct environmental impact; potential positive impact from AI-optimized systems offset by growth in compute infrastructure.","Fiscal crisis as income tax base erodes; demand for UBI/safety nets surges; political polarization between beneficiaries and losers of AI transition.","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE"
ord-precipice,"The Precipice: Existential Risk from AI","Toby Ord","Future of Humanity Institute",https://theprecipice.com/,2020,"Frames advanced AI as the most significant existential risk humanity faces this century, with a 10% chance of existential catastrophe from unaligned superintelligence.","Existential risk framing implies all social structures at risk; emphasizes intergenerational ethics and responsibility to future generations.","Focuses on alignment problem: sufficiently advanced AI systems may pursue goals misaligned with human values in ways that are catastrophic and irreversible.","Economic considerations secondary to survival; but notes that competitive dynamics create race conditions that increase risk.","Environmental concerns subsumed under existential risk framing.","Argues for unprecedented global coordination; likens to nuclear weapons governance but with harder verification problems.","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
suleyman-coming,"The Coming Wave","Mustafa Suleyman","Inflection AI / Microsoft",https://www.the-coming-wave.com/,2023,"Argues AI and synthetic biology represent an unstoppable wave of technology that will fundamentally reshape power structures; calls for 'containment' as the central challenge.","Technology diffusion means transformative capabilities become widely accessible, including to malicious actors; societal resilience is the key challenge.","Frames AI as part of a broader wave including synthetic biology; emphasizes the containment problem — keeping powerful tech under control while allowing benefits.","Economic disruption seen as inevitable; focus is on whether institutions can adapt fast enough to manage the transition without catastrophic failures.","Highlights synthetic biology intersection; environmental risks from both AI energy use and biotech applications.","Central argument is about governance: the nation-state may not be the right unit to govern these technologies; calls for new institutional forms.","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
imf-ai-econ,"AI and the Economy: Macro Impacts","Kristalina Georgieva et al.","International Monetary Fund",https://www.imf.org/en/Topics/AI,2024,"IMF analysis projecting AI will affect 40% of global jobs, with advanced economies most exposed; warns of significant inequality increases without policy intervention.","Advanced economies face highest exposure; developing countries may be shielded initially but miss out on productivity gains; global inequality dynamics shift.","Conservative technological assumptions relative to other scenarios; focuses on current and near-term AI capabilities rather than speculative superintelligence.","Projects 40% job exposure in advanced economies; models fiscal impacts including tax base erosion and social spending increases; emphasizes macro-prudential approach.","Limited environmental analysis; focuses on economic and fiscal dimensions.","Emphasizes multilateral coordination; calls for updating social safety nets, education systems, and tax frameworks across G20 nations.","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE"
rand-ai-security,"AI and National Security Transformation","Various","RAND Corporation",https://www.rand.org/topics/artificial-intelligence.html,2024,"Analysis of how AI transforms national security landscape: autonomous weapons, cyber capabilities, intelligence analysis, and strategic stability between great powers.","Military AI deployment creates new ethical dilemmas; autonomous weapons raise accountability questions; civilian-military AI divide grows.","Focuses on military-relevant AI capabilities: autonomous systems, cyber operations, intelligence processing, decision support for strategic command.","Defense spending restructured around AI; new arms race dynamics; economic impact through military-industrial complex transformation.","Environmental impact of military AI infrastructure; potential for AI-optimized environmental monitoring but also for AI-enabled resource extraction.","Strategic stability between nuclear powers disrupted; AI-enabled first-strike capabilities change deterrence calculus; calls for new arms control frameworks.","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE"
